treat;selection;outcome
0;1;2.065596135
1;1;1.945910149
0;1;1.960094784
1;1;2.079441542
1;0;0
1;1;2.302585093
1;1;2.369494422
1;0;0
1;1;1.789156841
0;0;0
0;0;0
1;1;2.140066163
0;1;1.740466175
1;0;0
1;1;1.695615609
1;0;0
0;0;0
1;1;1.981001469
1;1;1.945910149
0;1;1.832581464
0;1;2.183525733
1;0;0
1;1;1.791759469
1;1;2.02287119
1;1;2.079441542
1;0;0
1;1;1.916922612
1;1;1.791759469
0;0;0
0;1;1.982169693
1;0;0
1;1;1.638996715
1;1;1.791759469
1;1;1.791759469
1;1;2.862200881
1;1;1.832581464
1;0;0
0;1;2.397895273
1;1;2.670309873
0;0;0
1;1;2.274414216
1;0;0
1;0;0
0;0;0
1;1;1.098382315
0;1;1.832581464
0;1;0
1;0;0
1;1;1.749199855
1;1;1.648658626
1;1;1.713797928
0;1;2.564949357
1;1;2.047026132
0;0;0
1;0;0
0;0;0
1;0;0
0;1;1.945910149
1;0;0
1;0;0
1;0;0
1;0;0
0;0;0
1;1;2.140066163
0;1;2.48490665
1;1;2.1690537
1;0;0
1;0;0
1;1;1.808288771
1;0;0
0;1;2.014903021
1;1;2.302585093
0;1;2.708050201
0;0;0
1;1;2.327277706
1;0;0
1;1;1.945910149
0;1;2.047692843
1;1;1.446918983
0;0;0
0;1;1.042124004
1;0;0
0;0;0
1;0;0
0;1;2.63905733
1;0;0
1;1;2.351375257
0;1;1.832581464
1;0;0
0;0;0
0;0;0
0;1;1.386718216
0;0;0
1;1;2.272125886
1;0;0
1;1;2.402430428
0;1;2.48490665
0;1;2.014903021
0;0;0
1;0;0
0;1;2.079441542
1;0;0
1;1;2.695302628
0;1;1.791759469
1;0;0
1;1;2.186051277
0;0;0
0;1;2.014903021
1;0;0
0;1;2.197224577
1;1;1.791759469
0;1;2.069391206
0;0;0
1;1;2.079441542
1;0;0
1;1;2.351375257
1;1;1.658228077
0;0;0
0;1;1.638996715
1;0;0
0;1;1.749199855
0;0;0
0;1;2.091864062
0;0;0
1;0;0
1;1;0.916290732
1;1;2.079441542
1;1;1.830847012
1;0;0
0;1;2.014903021
1;0;0
1;0;0
1;1;1.638996715
1;1;0.058268908
1;1;1.757857918
1;1;2.327277706
0;1;1.945910149
1;0;0
1;1;2.079441542
1;1;1.791759469
0;0;0
0;1;1.791759469
1;0;0
0;0;0
0;1;1.832581464
1;1;1.742969305
0;0;0
1;1;2.251291799
0;1;1.704748092
1;1;1.871802177
1;1;1.871802177
1;0;0
1;0;0
0;1;1.791759469
1;0;0
1;1;2.251291799
0;1;1.658228077
1;1;2.197224577
0;1;2.302585093
1;1;2.371577964
1;1;2.481614038
1;1;2.060513532
1;1;2.134166441
1;1;1.638996715
1;1;2.197224577
1;0;0
0;1;1.981001469
0;1;1.740466175
1;1;1.832581464
0;0;0
0;0;0
1;1;2.140066163
0;1;2.155244505
1;1;1.945910149
1;0;0
0;1;1.840549633
1;1;1.871802177
0;1;0.446287103
0;0;0
0;1;1.504077397
1;1;2.224623552
0;0;0
0;0;0
1;1;2.014903021
0;1;1.791759469
1;0;0
1;1;2.170195905
1;0;0
0;1;1.791759469
0;0;0
1;1;1.638996715
1;0;0
1;0;0
1;1;2.302585093
1;0;0
1;0;0
0;0;0
1;0;0
1;0;0
0;0;0
1;1;2.302585093
0;0;0
1;1;2.262403919
1;0;0
1;1;1.909542505
1;1;2.48490665
0;1;2.116255515
1;1;1.981001469
1;0;0
0;0;0
1;0;0
0;1;1.909542505
1;0;0
1;1;1.686398954
1;0;0
0;0;0
1;1;1.945910149
1;1;2.215573716
1;1;1.792092747
0;1;2.197224577
1;1;1.674806637
1;1;3.218875825
1;0;0
1;0;0
1;0;0
0;1;1.791759469
1;1;2.014903021
1;1;2.302585093
0;1;2.397895273
1;0;0
0;1;1.981001469
0;1;2.708050201
1;1;1.804410587
1;0;0
1;1;2.351375257
0;1;2.197224577
